p,get_nuscr_time,w/ nuScr,w/o nuScr
TwoBuyer,0.5419347286224365,0.5912976264953613,0.049362897872924805
TwoBuyer,0.5520708560943604,0.6013619899749756,0.049291133880615234
TwoBuyer,0.5561766624450684,0.6052970886230469,0.049120426177978516
TwoBuyer,0.5429239273071289,0.5917208194732666,0.048796892166137695
TwoBuyer,0.5526905059814453,0.6017968654632568,0.04910635948181152
TwoBuyer,0.5481967926025391,0.5969653129577637,0.04876852035522461
TwoBuyer,0.57177734375,0.6207966804504395,0.04901933670043945
TwoBuyer,0.5439870357513428,0.5927026271820068,0.04871559143066406
TwoBuyer,0.5375931262969971,0.5874223709106445,0.04982924461364746
TwoBuyer,0.5424833297729492,0.5917208194732666,0.04923748970031738
Calc,0.381511926651001,0.43198180198669434,0.05046987533569336
Calc,0.3746659755706787,0.42391037940979004,0.04924440383911133
Calc,0.3657662868499756,0.415372371673584,0.0496060848236084
Calc,0.38904809951782227,0.4386124610900879,0.049564361572265625
Calc,0.38222479820251465,0.4314713478088379,0.04924654960632324
Calc,0.3556966781616211,0.4059441089630127,0.0502474308013916
Calc,0.36992859840393066,0.4193394184112549,0.04941082000732422
Calc,0.39150524139404297,0.4418456554412842,0.05034041404724121
Calc,0.36696624755859375,0.41614317893981934,0.049176931381225586
Calc,0.3573019504547119,0.4064004421234131,0.04909849166870117
Ticket,0.38385534286499023,0.40670132637023926,0.022845983505249023
Ticket,0.3884141445159912,0.4112672805786133,0.02285313606262207
Ticket,0.344010591506958,0.36695170402526855,0.022941112518310547
Ticket,0.3587934970855713,0.38166356086730957,0.02287006378173828
Ticket,0.3565795421600342,0.37958860397338867,0.023009061813354492
Ticket,0.3754751682281494,0.3986330032348633,0.023157835006713867
Ticket,0.35381317138671875,0.37688446044921875,0.0230712890625
Ticket,0.38375377655029297,0.4069180488586426,0.02316427230834961
Ticket,0.3502335548400879,0.3735353946685791,0.02330183982849121
Ticket,0.39978671073913574,0.42284584045410156,0.02305912971496582
TravelAgency,0.5246901512145996,0.5868382453918457,0.062148094177246094
TravelAgency,0.5473895072937012,0.6093928813934326,0.062003374099731445
TravelAgency,0.5479474067687988,0.609370231628418,0.06142282485961914
TravelAgency,0.5758686065673828,0.6391520500183105,0.06328344345092773
TravelAgency,0.560260534286499,0.6221809387207031,0.0619204044342041
TravelAgency,0.5703847408294678,0.632451057434082,0.06206631660461426
TravelAgency,0.5086121559143066,0.570746660232544,0.062134504318237305
TravelAgency,0.5402634143829346,0.6020832061767578,0.06181979179382324
TravelAgency,0.5518596172332764,0.6134903430938721,0.0616307258605957
TravelAgency,0.5649435520172119,0.6266317367553711,0.06168818473815918
Fib,0.3715832233428955,0.399869441986084,0.028286218643188477
Fib,0.3888583183288574,0.4173588752746582,0.02850055694580078
Fib,0.38385438919067383,0.4123830795288086,0.028528690338134766
Fib,0.36429691314697266,0.39370298385620117,0.029406070709228516
Fib,0.35674309730529785,0.3851950168609619,0.028451919555664062
Fib,0.387042760848999,0.41538119316101074,0.02833843231201172
Fib,0.3856663703918457,0.41393303871154785,0.02826666831970215
Fib,0.3803391456604004,0.40879011154174805,0.028450965881347656
Fib,0.35166430473327637,0.38029980659484863,0.028635501861572266
Fib,0.35930824279785156,0.3876345157623291,0.02832627296447754
Negotiate,0.351395845413208,0.40552186965942383,0.05412602424621582
Negotiate,0.3632678985595703,0.4181528091430664,0.054884910583496094
Negotiate,0.38597607612609863,0.440171480178833,0.054195404052734375
Negotiate,0.36089038848876953,0.4149806499481201,0.054090261459350586
Negotiate,0.3621714115142822,0.4165170192718506,0.05434560775756836
Negotiate,0.35592198371887207,0.41243505477905273,0.056513071060180664
Negotiate,0.3589489459991455,0.4138333797454834,0.05488443374633789
Negotiate,0.38775038719177246,0.4427304267883301,0.05498003959655762
Negotiate,0.39568209648132324,0.44983577728271484,0.0541536808013916
Negotiate,0.39734339714050293,0.4515841007232666,0.05424070358276367
OnlineWallet,0.5456528663635254,0.6378228664398193,0.09217000007629395
OnlineWallet,0.5415804386138916,0.6342747211456299,0.09269428253173828
OnlineWallet,0.5388879776000977,0.6308097839355469,0.09192180633544922
